,centroid,clusters
274,largest scale,"largely uncertain, larger scale, larger scales, largest scale, largest scales, largest spatial, largest visible, shortest scale"
275,mere,"mere, merely, merge, merger, per, zero"
276,particle momentablack,"particle handednessblack, particle momenta, particle momentablack, particle momentadiscrete, particle momentaquantum"
277,propagating backward,"propagate backward, propagates backward, propagating backward, propagating ordinary, propagating toward, propagation becomes"
278,reduce,"deduce, deduced, induce, induces, irreducible, presumed, reduce, reduced, reduces, reducing, remove"
279,unidirectional timetime,"bidirectional perspective, bidirectional timetime, freedomunidirectional variabletime, time-directionality remained, unidirectional perspective, unidirectional timeblack, unidirectional timenegative, unidirectional timesecond, unidirectional timetime, unidirectional variable"
280,vice versa,"twice reverses, vice versa"
281,achieve,"achievable, achievable goal, achieve, achieved, achieving, achieving deep, achieving faster, active"
282,electron,"anti-electron, electric, electrical, electron, electron', electrons, exception, overthrow"
283,energy conservation,"contradict observations, creation conservation, energy cancellations, energy configuration, energy conservation, momentum conservation, overall cancellation, theory conservation, violating conservation"
284,energy scale,"cosmic scale, energy available, energy filled, energy local, energy planet, energy scale, energy source, energy steady, energy twice, generous social"
285,energygeneral,"energiesenergy, energy energy, energy mutual, energy natural, energy signgeneral, energy termsgeneral, energyenergy, energygeneral, energykinetic, energyperpetual, field energygeneral, fieldgeneral, forcegeneral, symmetrygeneral, underdensitygeneral, vacuum energygeneral"
286,energytime direction,"asymmetrytime direction, concepttime direction, energytime direction, entropytime direction, forcetime direction, intervalstime direction, negative direction, ordertime direction, permanencetime direction, propertytime direction, reversaltime direction, theorytime direction, universetime direction"
287,equivalent source,"equivalent amount, equivalent changes, equivalent gain, equivalent objectively, equivalent process, equivalent repulsive, equivalent reversal, equivalent source, equivalent sourceconstraint, equivalent sourcedynamic, equivalent sourcenegative, equivalent sources, equivalentdiscrete, equivalently positive, ultimate source"
288,exert,"dx/dt, event, events, exact, except, excess, exert, exerts, experts, extend, extent, extra, extra bit"
289,feature,"departure, departures, feature, features, featuring, future, literature, picture, venture"
290,homogeneous distribution,"homogeneous distribution, homogeneous distributiongeneral, homogeneous distributionnegative, homogeneous distributionvoids, homogeneous positive, homogeneously distributed, inhomogeneous distribution, seehomogeneous distribution"
291,kinetic energy,"highest energy, kinetic energies, kinetic energy, kinetic energynegative, kinetic energysecond, kinetic energyvacuum, masskinetic energyblack"
292,limited,"delimited, dismissed, eliminate, eliminated, emitted, legitimized, lifted, limit, limited, limited scope, limited value, limiting, limits, submitted, tempted"
293,matternegative energy,"antimatternegative energy, factorsnegative energy, matternegative action, matternegative energy, mythsnegative energy, particlesnegative energy"
294,perfect,"correct, effect, imperfect, imperfect void, net effect, per unit, perfect, perfectly, perfectly null, perform, project"
295,reach,"Frenchman, Mach, epoch, forceMach, reach, reached, reaches, react, research, teach"
296,retained,"Frenchman named, certainly, certainties, contained, detailed, examined, gained, learned, mentioned, obtain Lorentz, obtained, obtained allow, prevailed, regained, remained, restricted, retained, retarded, routinely"
297,smallest,"simplest, smaller, smaller void, smallest, smallest unit, stable-state"
298,symmetric,"Symmetries, asymmetric, asymmetries, asymmetryblack, asymmetrytime, bi-metric, eccentric, geometrical, metric, symmetric, symmetric region, symmetrical, symmetries, symmetriesblack, symmetry exists, symmetry occurs, time-symmetric, totally symmetric, usual metric"
299,time-related propertiesdiscrete,"space-related propertiesdiscrete, time-related propertiesconstraint, time-related propertiesdiscrete"
300,Ttime direction,"Ctime direction, Mtime direction, Ptime direction, Ttime direction, assumed direction, chosen direction, low direction, scaletime direction, space direction, space directions, spin direction, time-direction, time-directionality, timetime direction, unique direction, variable direction, withtime direction, wrong direction"
301,analogy,"analogous, analogue, analogy, analogylocal, analysis, anomalous, anomalously, galaxy, many-body, methodology, technology, valid analogy"
302,axioms negative,"absorb negative, assumed negative, asymmetrynegative, axioms derived, axioms negative, matteraxioms negative, smooth negative, structureaxioms negative, uniform negative"
303,compatible,"comfortable, comparable, comparatively, comparing, comparison, compatible, implausible, incompatibility, incompatible"
304,completely filled,"complete absence, completely equivalent, completely filled"
305,considered positive,"configured formations, considered attractive, considered discrete, considered distinct, considered experiments, considered impossible, considered infinite, considered legitimate, considered location, considered logically, considered lopsided, considered negative, considered positive, considered problematic, considered rigorously, exclusively positive, observed positive"
306,consists,"Einstein's, concepts, consist, consistency, consisting, consists, follow consists, persists, scientists, theorem consists"
307,correspond,"correspond, corresponds, hole corresponds, lines correspond, ordersecond, statesecond"
308,creationnegative energy,"absorptionnegative energy, actionnegative energy, assumptionsnegative energy, attractionnegative energy, concentrationsnegative energy, conditionsnegative energy, constantnegative energy, constraintnegative energy, creationnegative energy, densitiesnegative energy, directionnegative energy, dynamicsnegative energy, fluctuationsnegative energy, formulationnegative energy, freedomnegative energy, interactionsnegative energy, interpretationnegative energy, motivationsnegative energy, originnegative energy, paradigmnegative energy, propagationnegative energy, propertiesnegative energy, repulsionnegative energy, solutionnegative energy, violationnegative energy"
309,energyblack,"chargeblack, chargesblack, draggingblack, effectblack, energiesblack, energyblack, entropy seeblack, entropyblack, ephemeral Planck, mergerblack, networksblack, radiusblack, spin networksblack, wavelengthblack"
310,energyblack hole,"effectblack hole, energiesblack hole, energyblack hole, entropyblack hole, equilibriumblack hole, levelsblack hole, mergerblack hole, networksblack hole, wavelengthblack hole"
311,energyconstraint,"analogyconstraint, chargeconstraint, enduring uncertainty, energiesconstraint, energy continuumconstraint, energy counterpart, energy matterconstraint, energyconstraint, exist constraints, freedomconstraint, lower energiesconstraint, sourceconstraint, theoremconstraint, theoriesconstraint, universeconstraint, vacuum energyconstraint"
312,energygravitational,"analogygravitational, energy bodiesgravitational, energy gravitational, energy mattergravitational, energygravitational, entropygravitational, except gravitation, exert gravitational, singularitygravitational, underdensitygravitational, universegravitational, vacuum energygravitational"
313,energygravitational repulsion,"analogygravitational repulsion, bodiesgravitational repulsion, electrostatic repulsion, energygravitational repulsion, experimentgravitational repulsion, momentumgravitational repulsion, shellgravitational repulsion, singularitygravitational repulsion, singularitygravitational repulsionparticle, singularitygravitational repulsionwormhole, tensorsgravitational repulsion, theorygravitational repulsion, underdensitygravitational repulsion, universegravitational repulsion"
314,fall,"Paul, calls, fail, fair, fairly, fall, falls, false, fatal, favor, fill, finally, fulfill, fully"
315,field associated,"effect associated, field associated, fields associated, freedom associated, horizon associated, level associated, object associated, scale associated, viewpoint associated"
316,follow,"Anyhow, fatal blow, flow, follow, follow curved, follows, fourth, hollow, size hollow, somehow"
317,freedomquantum,"fieldquantum, freedomquantum, horizonquantum, predominantly"
318,gravitational collapse,"gravitational collapse, gravitational collapseblack, gravitational collapsequantum, gravitational collapsewormhole, gravitationally collapsed"
319,ordinary circumstances,"appropriate circumstances, normal circumstances, ordinary circumstances, particular circumstances, rare circumstances"
320,singularityblack hole,"singularityblack, singularityblack hole, singularityparticle"
321,stateblack hole,"areablack hole, beamblack hole, massblack hole, matterblack hole, matterblack holeblack, scaleblack hole, seeblack hole, spaceblack hole, standard model, stateblack hole, stated commonly, surfaceblack hole, symmetriesblack hole, timeblack hole"
322,thermodynamicsblack,"chromodynamicsquarkmeson, hole thermodynamicsblack, thermodynamic stability, thermodynamics energyblack, thermodynamics implies, thermodynamics nnblack, thermodynamics stable, thermodynamics static, thermodynamicsblack, thermodynamicsblack hole, thermodynamicsquantum, thermodynamicssecond, thermodynamicsstatistical"
323,uniformly,"manifestly, nuclei formed, unambiguously, uniform, uniformity, uniformly, uniformly filled, uniquely"
324,vacuum decay,"constantvacuum decay, symmetryvacuum decay, vacuum affected, vacuum decay, vacuum devoid"
325,violated,"axiomatic, dictated, displayed, isolate, isolated, located, violate, violated, violates, violating, vital lead"
326,actionnegative,"absorptionnegative, action Mnegative, action remains, action signsnegative, actioncoordinative, actionnegative, actionnegative mass, adding negative, annihilationnegative, assumptionsnegative, directionnegative, factorsnegative, horizonnegative, originnegative, pair creationnegative, paradigmnegative, radiationnegative, solutionnegative, violationnegative"
327,assumptions regarding,"assumption regarding, assumptions concerning, assumptions entering, assumptions regarding, assumptions surrounding, expectations regarding, measurements regarding, observations regarding, possibilities regarding, sections regarding, situation regarding"
328,binary unit,"binary fashion, binary unit, binary units, mere unit, minimum unit"
329,bound systems,"bound physical, bound system, bound systems, bound systemsnegative, bound systemsprinciple, bound systemstime, bound systemsvacuum, cooled system, local subsystems, sound obvious"
330,chargestime,"changed twice, changes refer, charges inside, charges tend, chargestime, chargetime, harvesting, theoriestime"
331,chargestime direction,"antimattertime direction, antiparticlestime direction, characterized direction, chargeneutron's electric, chargestime direction, chargetime direction, coordinatestime direction, handednesstime direction, mattertime direction, systemstime direction, theoriestime direction"
332,cosmological scale,"cosmological asymmetry, cosmological effects, cosmological models, cosmological principle, cosmological scale, cosmological term, epistemological support"
333,detailed configuration,"acceptable configuration, detailed configuration"
334,energy contained,"energy contained, energy content, energy continuum, energy contributed, energy gained, energy multiplied, entropy contained, locally constrained, observer constrained"
335,experimental,"expect mutual, experiment, experiment Based, experimental, experimentally, experimentinertial, experiments, mentioned experimental, obtain experimental"
336,inertial massprinciple,"inertial massequivalent, inertial massinertial, inertial massnegative, inertial massprinciple"
337,intervals associated,"historically associated, intervals associated, intervals generated"
338,negative charge,"negative charge, negative charges, negative component, negative scale, negative thermal, negatively charged, positive charge, positively charged, relative change, reverse charge"
339,negative temperatures,"Negative temperatures, entropynegative temperatures, fieldnegative temperatures, freedomnegative temperatures, heatnegative temperatures, holenegative temperatures, infinite temperaturequantum, matternegative temperatures, negative temperature, negative temperatures, nnnegative temperatures, opposite temperatures, positive temperature"
340,objectively,"collectively, effectively, exclusively, intuitively, object laterally, object merely, objective, objectively, objectives"
341,occurrence,"occur despite, occur due, occur twice, occurred, occurrence, occurrences, occurring beyond, tocchapterIndex"
342,particles involved,"parameters involved, particle evolves, particle involved, particle's observed, particles absorbed, particles annihilate, particles instead, particles involved, particles observed, problems involved, quantities involved"
343,phenomenological,"chronological, epistemological, freedom chronological, phenomenological, phenomenologically, phenomenology, phenomenon directly, purely phenomenological, technological"
344,physically significant,"classically significant, considered significant, particularly significant, physical significance, physically significant, statistically significant"
345,previously discussed,"briefly discussed, directionality discussed, previous discussion, previously assumed, previously described, previously discussed, previously suggested, refinement discussed"
346,problematic,"Dirac's problematic, appear problematic, pragmatic, problem occurs, problem', problematic, problematic proposal, problemmatter, problemsblack, problemstime, problemtime, problemvacuum, seem problematic, variable metric"
347,relevance,"crucial advances, elegance, irrelevant, relevance, relevant, reluctance"
348,respective,"effective, ineffective, perspective, perspectives, respective, respective final, respectively, restrictive"
349,satisfied,"Dirac's failed, sacrifice, satisfactory, satisfied, satisfy, specified, statistical, unsatisfactory"
350,scale distribution,"ample justification, average distribution, cosmic distribution, empty distribution, energy distribution, filled distribution, imperfect distribution, initial distribution, mass distribution, overall distribution, scale distribution, scale distributions, similar distribution, spherical distribution"
351,surface elements,"diagonal elements, perfect embodiment, specific elements, surface element, surface elements, surface enclosing, surface strengthens"
352,surrounding positive,"surrounding negative, surrounding positive"
353,tensor associated,"factor associated, factors associated, momentum associated, tensor associated, tensor encompasses, tensors associated, vectors associated"
354,total energy,"actual energy, cosmic energy, external energy, final energies, local energy, natural energy, stateenergy, thermal energy, total angular, total area, total charge, total energy, totally cancel, totally smooth"
355,traditional interpretation,"geometrical interpretation, mentioned interpretation, original interpretation, particular interpretation, relational interpretation, tentative interpretation, traditional interpretation, traditional interpretationblack, traditional interpretationgravitational, traditional interpretationnegative, traditional interpretations, traditional understanding, traditional unidirectional, unequivocal interpretation"
356,traditional viewpoint,"Newtonian viewpoint, gravitational viewpoint, relational viewpoint, traditional viewpoint"
357,transformations,"PTC transformation, PTC transformationtime, achieve transformations, transform useless, transformation, transformation PTC, transformation event, transformation occurs, transformations, transformationtime, transgressions, transmutations"
358,Basically,"Basically, basically, classically, empirically, fail locally, historically, ironically, logically, practically, statistically, vertically, voids Basically"
359,Bekenstein bound,"Bekenstein bound, Bekenstein boundblack, freedomBekenstein bound, matterBekenstein bound"
360,alternative definition,"Alternative definition, alternative assumption, alternative definition, alternative description, alternative framework, coordinative definition"
361,annihilate,"annihilate, annihilates, annihilating, annihilation, annihilations, assimilate, usually annihilate"
362,annihilation process,"annihilation Actually, annihilation characteristic, annihilation process, annihilation processes, annihilationmatter, annihilationvacuum"
363,antiparticlesnegative,"antimatternegative, antiparticle's energy, antiparticles constituted, antiparticlesdiscrete, antiparticlesinteraction, antiparticlesnegative, antiparticlesnegative energy, dominant paradigmnegative, particlesnegative, virtual particlesnegative"
364,bit,"CPT, G/c, PTC, Petit, Six, admit, bad, big, bit, bits, built, c/G, dig, emit, ext, fix, it', lot, net, orbit, t/E, unit, units, unity, x/p"
365,confirm,"configured, confinement, confirm, confirmed, confirming, confirms, conflict, conform, conforming, conformity, secondary, unconfirmed, unconfirmed grand"
366,consideration,"configuration, configurations, confirmation, conservation, consider atomic, consider larger, consideration, considerations, reconsideration"
367,conversion factors,"conversion factor, conversion factors, conversion factorsgeneral, conversion factorsnegative, conversion factorsvacuum"
368,counterpart,"counteract, counterpart, down-to-earth"
369,distributionnegative energy,"contributionsnegative energy, distributionnegative energy, distributionsnegative energy"
370,energy level,"altered level, energy developed, energy level, energy levels, energy levelsblack, energy needed, highest level, minimum level, zero level"
371,energy propagating,"begin propagating, begins propagating, charge propagates, charges propagating, electron propagating, energies propagated, energies propagating, energy propagated, energy propagating, energy propagation, merely propagating, necessarily propagating, start propagating, starts propagating"
372,evidencenegative,"equivalencenegative, evidence certainly, evidence despite, evidenceFeynman, evidencenegative, evidencetime, overdense shellnegative, overdensitynegative, permanencenegative, requirementsnegative"
373,formed,"favored, focused, forbid, forced, forces, forget, formed, former, informed, performed, warned"
374,freedom pair,"field pair, freedom appearing, freedom applying, freedom based, freedom grand, freedom pair, freedom particle, freedom per, freedom prevailing, freedomblack, prevents pair"
375,freedomquantum gravitation,"acceleratorquantum gravitation, fieldquantum gravitation, freedomquantum gravitation, freedomquantum gravitationquantum, handednessquantum gravitation, horizonquantum gravitation, momentaquantum gravitation, momentumquantum gravitation, thermodynamicsquantum gravitation"
376,fundamental level,"fundamental building, fundamental element, fundamental level, fundamental physical, fundamental wavelike"
377,future direction,"actual direction, forward direction, future directed, future direction, future evolution, outward directed"
378,holeblack hole,"Cblack hole, Mblack hole, Tblack hole, boundblack hole, collapseblack hole, holeblack hole, horizonblack hole, nnblack hole, problemsblack holesecond, wormholeblack holeblack"
379,impose,"dipole, disposed, immerse, impasse, impose, imposed, imposes, imposing, impossible, improbable, improve"
380,involving particles,"evolving categories, individual particles, interacting particles, involve particles, involves particles, involving ordinary, involving particle, involving particles, involving virtual, measuring apparatuses, moving particles, obtaining particles"
381,maximum energy,"maximum density, maximum energy, maximum level, maximum local, maximum physically, minimum energy, minimum entropy, momentum-energy"
382,particle world-lines,"anti-electron world-lines, particle world-line, particle world-lineconstraint, particle world-linediscrete, particle world-linematter, particle world-linenegative, particle world-lines, particle world-linetime, particle's world-line"
383,positive direction,"bosontime direction, positive direction, positive inertial, positive kinetic, positive portion, positive potential, positive radiation, relative direction"
384,precise,"Likewise, Otherwise, adopted precisely, criticism, crucial step, otherwise, pieces, practice, preceded, precise, precise group, precise unit, precisely, precision, process, revise, treatise"
385,propagates,"probabilities, propagate, propagated, propagates, propagating, propagation, propagators, properties, simply propagates"
386,reduction,"Introduction, deduction, deductions, introduction, mass reduction, mixed action, prediction, predictions, production, reaction, reduction, reflection, rejection, restriction"
387,respond,"beyond, lesson, record, region, respond, responds, response, responsible, restore, threshold, timesecond"
388,traditionally consider,"conventionally consider, originally considered, traditionally conceived, traditionally consider, traditionally considered, traditionally momentum, traditionally provided"
389,versa,"essay, verify, versa, versa maybe, versus, vertex, zero'"
390,absolutely defined,"absolutely definable, absolutely defined, absolutely none, absolutely perfect, absolutely required, objectively defined, rigorously defined"
391,agree,"agree, agreed, agrees, free, issue agree"
392,annihilationnegative energy,"annihilationnegative energy, annihilationvacuum energy, antigravitynegative energy"
393,anomalously gravitating,"abnormally gravitating, anomalous gravitational, anomalously gravitating"
394,bi-metric theories,"bi-metric theories, bi-metric theoriesconstraint, bi-metric theoriesgeneral, bi-metric theoriesnegative, bi-metric theoriesvacuum, bi-metric theory, emerging theories"
395,categories,"categorical, categories, categorize, categorized, category, noteworthy, six categories, trajectories"
396,classical equations,"Meaningful equations, classical Newtonian, classical equation, classical equations, classical equationsdiscrete, classical equationstime, classical gravitation, classical relation, logical deductions, original equations"
397,creationmatter creation,"annihilationmatter creation, conditionsmatter creation, creationmatter creation, expansionmatter creation, fluctuationsmatter creation, permanencematter creation, raritymatter creation, weaknessmatter creation, world-linematter creation"
398,definition principle,"Organizing principle, additional principle, definition principle, distributioncosmological principle, distributionsprinciple, referenceMach's principle, variational principle"
399,energy forward,"charge forward, converge toward, energies forward, energy backward, energy forward, energy somewhere, energy spread, step forward, trajectory forward, usual forward"
400,energyquantum gravitation,"energiesquantum gravitation, energyquantum gravitation, entropyquantum gravitation, geometryquantum gravitation, lengthquantum gravitation, temperaturequantum gravitation, tensorsquantum gravitation, termsquantum gravitation, weaknessquantum gravitation"
401,falling,"Failing, Hawking, banning, calculating, canceling, challenge, colliding, enabling, facing, falling, familiar, fast moving, feeling, finding, founding, gaining, helping, infalling, lacking, pulling, puzzling, ranging, solving, tackling, talking, telling, willing"
402,filled negative,"allowed negative, available negative, defined negative, field nnnegative, fieldnegative, fieldsnegative, filled negative, final negative, forbidden negative, forbids negative, freedomnegative, smaller negative, well-defined negative"
403,freedom antiparticlestime,"freedom antiparticles, freedom antiparticlesdiscrete, freedom antiparticlestime"
404,hole singularity,"central singularity, forming singularity, hole angular, hole singularities, hole singularity, mass singularity"
405,indicated,"bifurcates, conducted, dedicate, dedicated, envisaged, eradicated, immediately, implicated, inadequate, inadequate due, indicate, indicated, indicates, indication, indications, indicative, indicator, indice refers, indices, indiscriminately, industry, insisted, invalidated, mediated, radiated, vindicated"
406,latter,"Matters, Tmatter, alter, chapters, easier, factor, faster, larger, latter, latter type, letters, matters, mystery, pattern, scalematter, wander, whatever"
407,lopsidednessconstraint,"absolute lopsidednessconstraint, completenessconstraint, handednessconstraint, lopsidedness arises, lopsidedness involving, lopsidedness seeabsolute, lopsidednessconstraint, lopsidednessdiscrete"
408,motion relative,"bodies relative, defined relative, direction relative, existing relative, horizon enclosing, motion problemnegative, motion problemtime, motion relative, motionless outside, motions relative, moving relative, positive relative, rotating relative, rotation relative"
409,needs,"ended, feels, fields, leads, let's, levels, needed, needs, news, tends, terms"
410,observable,"detectable, longer apply, observable, observable level, observables, observers, obtainable, real observable, unobservable, unstoppable"
411,physical systems,"physical aspect, physical degrees, physical sciences, physical system, physical systems, physical universe, unphysical solutions"
412,predict,"paradigm, predict, predictable, predicted, predicting, predicts, prejudice, preprint"
413,preferred,"giving preferred, inferred, paper preferred, prefer, preferred, preferred frame, preferred sign, preferred status, presented, preserve, preserved"
414,preserving reversal,"consequent reversal, engineering traversable, preserving classical, preserving reversal, respective reversals"
415,prevent,"improvement, improvements, omnipresent, presently, pretend, prevent, prevented, prevents, property, recent, represent, represents"
416,previously mentioned,"previously considered, previously defined, previously hinted, previously identified, previously indicated, previously introduced, previously mentioned, previously proposed"
417,relativistic context,"motivated context, relativistic context"
418,remain positive,"actual positive, carry positive, defined positive, effect positive, forbid positive, gain positive, mass positive, maximum positive, ordinary positive, overall positive, predefined positive, prevent positive, prevents positive, relates positive, relating positive, releasing positive, remain positive, remain quantities, remaining inside, remains impossible, remains positive, removing positive, repel positive, repels positive, required positive, scale positive, specific positive"
419,reversalsconstraint,"decay problemconstraint, inertial massconstraint, intervalsconstraint, irreversibilityconstraint, natural constraint, referenceconstraint, repulsionconstraint, reversal Tconstraint, reversalsconstraint, space intervalsconstraint"
420,share,"Charge, aware, behave, charge, nearer, phase, quark, scale, scarce, scope, secret, share, shared, sharing, shock, shorter, source, space, space-, spaces, sparse, sphere, square, squared, stage, thank"
421,theoretical viewpoint,"mathematical viewpoint, theoretical viewpoint"
422,theory generalized,"actually generalizes, easily generalizable, merely generalizes, theory Nevertheless, theory alternative, theory generalized, theory redefined, theory seenegative"
423,traditional concept,"traditional concept, traditional conception, traditional concepts, traditional models, traditional problems, traditional reluctance"
424,Einstein tensor,"Einstein elevator, Einstein tensor, Einstein tensorgeneral, Einstein understood, Einstein's elevator, Einstein's insistence, Einstein's theory, instead denote, nineteenth century, notation tensors"
425,asymmetryconstraint,"antimatterconstraint, arguments constrained, asymmetry Regarding, asymmetry affecting, asymmetry involving, asymmetry observable, asymmetryconstraint, asymmetrymultiverseconstraint, polar asymmetryconstraint, symmetryconstraint"
426,attractiveness,"attractionvoids, attractiveness, effectiveness, extreme weakness, ineffectiveness"
427,cases,"Based, academia, axes, based, cancel, carries, carry, cases, causal, caused, causes, chased, closest, clues, cosmos, costs, crosses, gases, issues, labels, leaves, phases, scales, systems, takes, varies"
428,characterize,"characteristic, characteristics, characterization, characterize, characterized, characterized notion, characterizes, characterizing, possibly characterize"
429,combined operation,"combined operation, combined operations, combined transformation, defined operation, dominant paradigm, open-minded specialists"
430,constituent particles,"component particles, constituent particle, constituent particles, constituent particles', constituent planets, exclusively particles"
431,described using,"described analysis, described approach, described context, described exists, described outside, described spin, described using, desirable knowing, discernible change, expressed using, specified using"
432,differentiate,"differentiate, differentiates, differently"
433,direction parameter,"direction parameter, directional parameters, directionality parameter, invariant parameter, time-direction parameter"
434,distribution negative,"contributionsnegative, distinct negative, distributed concentrations, distributed negative, distribution effectively, distribution effects, distribution gives, distribution negative, distribution remains, distribution responsible, distributionnegative, distributionsnegative, distributionsnegative mass"
435,effectively dealing,"effectively affecting, effectively dealing, effectively establish, effectively gain, effectively negative, effectively remain, effectively remains, effectively sharing, effectively talking"
436,element,"displacement, elegant, element, elementary, elements, embodiment, movement, statement"
437,emphasized,"emphasize, emphasized, emphasizes"
438,energy interaction,"energy interaction, energy interactions, energyinteraction, energyinteraction vertex, range interaction"
439,energy systems,"energy harvesters, energy hypothesis, energy subsystems, energy system, energy systems"
440,energy vacuum,"dynamicsvacuum, energy mattervacuum, energy termsvacuum, energy vacuum, energy vacuums, energy versus, energyvacuum, entropyvacuum, missing vacuum, same-energy-sign vacuums, systemsvacuum, useful energyvacuum"
441,energyquantum,"concerning quantum, densitiesquantum, energiesquantum, energy termsquantum, energy-momentum, energyquantum, entropyquantum, geometryquantum, lengthquantum, modern quantum, ordinary quantum, tensorsquantum, termsquantum, using quantum, weaknessquantum"
442,entangled system,"Earth-Moon system, entangled system, entangled systemnegative, single system"
443,equivalence Einstein's,"equivalence Einstein's, equivalences constitute, simplifies Einstein's"
444,hole information,"allow information, binary information, essential information, exist information, hole conservation, hole information, hole informationsecond, hole informationt, ignored information, missing information, provide information, provides information, relevant information, somehow forgotten, surface information"
445,ignore,"Ignorance, ignorance, ignorant, ignore, ignore nowadays, ignored, ignoring, safely ignore"
446,including energy,"biding energy, concerning energy, exchanging energy, including charge, including energy, vanishing energy"
447,interesting,"What's interesting, interesting, interesting outcome, interesting practical, interesting result, matter-enclosing, started studying, time-wasting"
448,involving negative,"absorbing negative, allowing negative, discussing negative, governing negative, involve negative, involving conjugate, involving exclusively, involving inertial, involving negative, involving negatively, involving positive, throwing negative"
449,material,"Historical, criteria, external, forcematerial, historical, immaterial, lateral, laterally, material, materialize, materials, matterblack, mattertime, mattervoids, natural, reach thermal, scale realm"
450,mathematical structure,"mathematical deductions, mathematical features, mathematical formulation, mathematical framework, mathematical structure, mathematical structureaxioms, mathematical structuregeneral"
451,mechanics equilibrium,"mechanics equilibrium, mechanics near-equilibrium, mechanics non-equilibrium, regained equilibrium"
452,motivates,"dominates, estimates, motionless, motivate, motivated, motivated Dirac's, motivates, motivation, motivations, motives"
453,necessarily produce,"necessarily opposite, necessarily prevent, necessarily produce, necessarily result, presumably reduce"
454,parameters associated,"asymmetries associated, asymmetry associated, matters associated, parameter associated, parameters associated, parameters locally, parameters unchanged, problems associated, properties associated"
455,particle carrying,"particle carrying, particle crossing, particle turning, particles carrying, particles corresponds, photons carrying"
456,particles forming,"particle forming, particle's momentum, particles contributing, particles crossing, particles emerging, particles forming, particles missing, particles sharing, subsystems forming"
457,postulate,"conjugate, effect postulate, postulate, postulated, postulates, postulating, reformulate, unfortunate"
458,priori,"error, primordial, prior, priori, priori motive, superiority"
459,processes involved,"framework involved, process involving, processes invariant, processes involved, processes involving, processes obtained, processes unaffected, processes usually, reversal involved"
460,proportional,"amount proportional, field proportional, proportion, proportional, proportionately, proportionately larger"
461,quantum fluctuations,"lived fluctuations, quantum description, quantum expectation, quantum fluctuations, quantum fluctuationsvacuum, random fluctuation, randomly fluctuating, short-lived fluctuations, vacuum fluctuations"
462,relational description,"Newtonian description, artificial restriction, bidirectional description, relational description, relativistic description, successful description, traditional description"
463,repulsion exerted,"attraction exerted, pressure exerted, radiation emitted, repulsion apparently, repulsion arising, repulsion directed, repulsion exerted, repulsion experienced, repulsion otherwise, repulsion similar, repulsiongeneral, repulsionwormhole exotic, response expected"
464,simplicity,"Implicitly, assumed implicitly, complexity, explicitly, greater simplicity, implicit, implicitly, regards simplicity, simplicity, simplifies, simply try, simultaneity"
465,solve,"move, resolve, resolved, salvage, solve, solved, solves, someone, volume"
466,stategeneral relativistic,"actiongeneral relativistic, bodiesgeneral relativistic, constantgeneral relativistic, distributiongeneral relativistic, fieldgeneral relativistic, forcegeneral relativistic, mapsgeneral relativistic, massgeneral relativistic, mattergeneral relativistic, nngeneral relativistic, ofgeneral relativistic, relativizedgeneral relativistic, signgeneral relativistic, stategeneral relativistic, structuregeneral relativistic, symmetrygeneral relativistic, withgeneral relativistic"
467,surfaces,"Dirac's, outer layers, sources, stretches, subtracted, suffices, sufficient, surface, surfaceblack, surfaces"
468,symmetry operationdiscrete,"combined operationsdiscrete, equivalent operationsdiscrete, symmetry operationdiscrete, symmetry operationsdiscrete, symmetry operationsthermodynamic, symmetry violationdiscrete, vectorpropagatordiscrete"
469,thermal equilibrium,"energy equilibrium, noted disequilibrium, overall equilibrium, perfect equilibrium, thermal equilibrium, thermal equilibriumblack, thermal equilibriumquantum, thermal equilibriumsecond"
470,time-symmetric viewpoint,"time-symmetric concept, time-symmetric context, time-symmetric evolution, time-symmetric physical, time-symmetric viewpoint"
471,universal expansion,"universal expansion, universal expansionconstraint, universal proportion, universe's expansion"
472,absolute gravitational,"absolute gravitational, absolute gravitationally, absolute non-relational, associated computational, associated gravitational, discrete gravitational, eliminate gravitation, observe gravitational, opposite gravitational, proposed gravitational"
473,accept,"accept, acceptable, accepted, accidental, adjacent, adopt, attempt, attempts, succeed, unacceptable"
474,accurate,"accumulate, accuracy, accurate, occupants, readily accumulate"
475,applied forces,"allowed frequencies, applied external, applied forces, applied twice, repulsive forces"
476,argue,"angle, argue, argued, language, safely argue, virtue"
477,attract,"artifact, attract, attracted, attracting, attractive, attracts, bodies attract, extract, subtract"
478,clearly distinct,"actually distinct, clearly contradict, clearly disagrees, clearly distinct, clearly identify, clearly indicates, clearly unjustified, energy distinct, freedom distinct, objectively distinct, possibly distinct, scale distinct"
479,concerned,"Concerning, conceived, concern, concerned, concerning, concerns, connected, conserved, converge, conveyed, lesson learned, lessons learned, longer needs, succeeded, unobserved"
480,considered valid,"consider voids, considered equivalent, considered invalid, considered map, considered meaningful, considered real, considered reversed, considered unchanged, considered valid, considered various, considered viable, constitute valid, longer valid"
481,consistent notion,"connecting regions, consistent appreciation, consistent approach, consistent behavior, consistent bi-metric, consistent classical, consistent concept, consistent definition, consistent integration, consistent notion, consistent relational, consistent theory, consistent viewpoint, inconsistent formulations"
482,continuous world-line,"continuous two-dimensional, continuous world-line, continuously occurring, continuum combined"
