,word,clusters,source
1052,solution,"Conclusion, Kolmogorov, assumption, evolution, location, notation, notion, section, selection, solitary, soliton, solitons, solution, solution"", solutions, solutions"", substitution",4
1053,singularities,"opposite families, self-dual Yang-Mills, singular points, singularities, singularities"", singularity",4
1054,test,"Dienst, Herbst, Lett, Sect, Weiss, exist, heat, highest, items, list, output, resp, result, task, term, terms, test, test iff, tests, type, versa",4
1055,method,"Exton, Nijhoff, North-Holland, Petrovskii, Whitehead, beyond, manifold, maths, method, method due, method fails, methods, motion, neighborhood, period, twofold, using methods",4
1056,transformation,"Darboux transformations, global information, information, transformation, transformation auto--, transformation comes, transformations, transformations homographic, translation, uniformization",4
1057,variable,"Carnevale, Garagash, Gavrilov, Harry-Dym, Linearizable, Natuurkunde, Riccati variable, Riccati variables, adjustable, partially, particular, untractable, variable, variables, variablesingular, variety, various",4
1058,functions,"Yang-Mills, definitions, directions, fonction, function, functionally, functions, half-periods, sections, six functions, special functions, truncation, truncations, unknowns",4
1059,system,"Amsterdam, Bessel, isolated, listed, mostly, quantum, shorten, shortness, stated, subset, subsystem, suspected, system, systematic, systems, usyd edu, written",4
1060,singular,"methodsingular, operator singular, singular",4
1061,integrability,"Integrability, integrability, integrability elements, irreducibility, mere integrability",4
1062,nonlinear,"Nonlinear, Nonlinear Math, Nonlinearity, nongeneric, nonlinear, nonlinear item, nonlinearly",4
1063,condition,"London, Rendiconti, addition, additional, candidate, codimension, collection, combination, computation, condition, conditions, convection, convection term, crossratio, diophantine condition, isomonodromy condition, no-log conditions",4
1064,elliptic,"Belinskii, Bulletin, Fluid Mech, Lax pair, algebraic, elliptic, elliptic BGPP, hyperelliptic",4
1065,Laurent series,"Laurent series, Springer series",4
1066,critical singularities,"Fuchsian singularities, critical singularities, critical singularities"", critical singularity",4
1067,defined,"Levine, Medina, PDE defined, Pempinelli, Reprinted, Springer, achieved, affine, believes, define, define six, defined, defined WTC, defined inside, defines, depend, described, detailed, developed, difficult, modified, prescribed, remarked, undefined, unified",4
1068,polynomial,"Polynomial, Six polynomial, degree polynomial, polynomial, polynomials, potential",4
1069,relation,"Belgian, Clarkson, Section, correlation, extrapolation, rational, reduction, relation, relations, replacing, version",4
1070,cases,"Academy, Caboz, Camassa, Degasperis, Eckhaus, Gabay, Gambier, Mason, Matveev, Nagoya, Page, Paris, Pashaev, Ravoson, Sakai, Satsuma, Scoufis, Tabor, Vries, arises, based, basic, basis, cases, checks, chosen, class, class III, closed, comes, cos x-C, cubic, easier, easy, exists, fails, happens, laws, lists, mass, namely, pages, passes, scalar, takes, tasks, vanish, vanishes, wants, waves",4
1071,constant,"Contract, Grundland, IUAP Contract, Longmans, Tournesol grant, choosing, concept, concerns, confluent, consistency, constant, constant value, constant values, constants, constraint, constraints, contrary, counterpart, counting, dominant, instance, nonapparent",4
1072,degree,"Oeuvres, Osborne, degree, degree ODE, degree PDEs, degrees, denote, higher, higher degree, lowest degree, ordered, retrieves, third degree, upgrade",4
1073,linear,"Eitner, LevineTabor, Pleinlaan, Singapore, appear, boundary, likely, linear, linearly, lines",4
1074,defining,"Defining, Nevanlinna, Puzynin, beginning, defining, definition, demanding, denoting, deriving, describing, determining, publishing, puzzling, remaining",4
1075,physics,"Physica, Topics, dynamics, emphasizes, mechanics, ocean physics, physical, physics, physique",4
1076,BureauMII,"Bureau, BureauMI, BureauMII, BureauMIII, Burgers PDE, Kudryashov, Pura Appl, fourth BureauMII",4
1077,ChazyThese,"Chazy ChazyThese, Chazy's, ChazyThese, ChazyThese explain, CosPDEhyper, ODEs ChazyThese",4
1078,Fuchs indices,"Fuchs index, Fuchs indices, integer indices",4
1079,Fuchsian,"Fuchs, Fuchsian, Fuchssteiner, Russian, nonFuchsian, nonFuchsian type, tutorial",4
1080,Fuchsian perturbative,"Fuchsian perturbative, Russian translation, nonFuchsian perturbative",4
1081,Liouville,"Bruxelles, Joseph Liouville, Liouville, Liouville PDE",4
1082,Ref,"BGPP, CEA, CFA, CNRS, CRM, Chen, DHH, Fac, IST, IUAP, Log, NRGO, Nth, ODE, PDE, PP"", RDG, RGC, Ref, Refs, Remark, Reus, Rev, Sci, Soc, WTC, ago, des, etc, iff, key, les, mere, nez, per, real, try, vol, weak",4
1083,analytic,"Malanotte, a'd'-b'c', analogue, analysis, analytic, analytically, analyticity, analytique, analytique des, chaotic",4
1084,elements,"Acknowledgments, Implementing, achievements, arguments, d'Alembert, developments, elegant, elementary, elements, elsewhere, enforcement, experiment, exponents, implement, issue statements, plenty, statements",4
1085,independent variables,"dependent variable, independent invariants, independent solutions, independent variable, independent variables, separating variables",4
1086,perturbation,"perturbation, perturbation arises, perturbative, perturbed Laurent, perturbed solution, prey-predator, superposition",4
1087,singular manifold,"methodsingular manifold, singular manifold, variablesingular manifold",4
1088,truemm,"truecm, truemm, truemm'",4
1089,arbitrary complex,"arbitrary according, arbitrary change, arbitrary complex, arbitrary homography, arbitrary movable",4
1090,continuum limit,"continued beyond, continuum limit",4
1091,elliptic function,"arbitrary function, elliptic equations, elliptic function, elliptic solution, elliptic stepsize, generating function, hyperelliptic functions",4
1092,existence,"Science, absence, distinct, exhaustive, existence, importance",4
1093,integer,"Calogero, November, acknowledged, indices, integer, integer Fuchs, integers, intended, lowest integer, whatever",4
1094,invariant,"Invariant, Invariant algebraic, Prikladnaia, Zhang Xiang, gradient, important, invariant, invariant per, invariants",4
1095,linearized,"characterized, circle characterized, inherited, linearizable, linearized, linearizing, minimizes",4
1096,main,"Berlin, Chazy, Commun, Ermakov, Hermann, Indian, Latifi, Martina, Math, Neumann, PaiBSMF, Paul, Ramani, Riemann, Tamizhmani, Taub, Univ, Vrije, domain, fail, lack, main, main subset, majority, mapping, maps, math, matrix, missing, nlin, pair, shown, sign, using, van",4
1097,movable singularities,"Movable singularities, movable logarithmic, movable logarithms, movable singularities, movablesingularity, movablesingularity fixed",4
1098,parameter,"complex parameters, parameter, parameters, parametric, six-parameter, six-parameter group, two-parameter",4
1099,single valued,"Singlevalued, seven values, single scalar, single valued, single valuedness, singlevalued",4
1100,CetraroConte,"CetraroConte, CetraroMusette, school CetraroConte",4
1101,CosScou,"CEA--Saclay, Contopoulos, CosPDEpara, CosScou, Cosgrove, Moscou, ODEs CosScou, Sokolov",4
1102,GambierThese,"Gambier GambierThese, Gambier test, GambierThese, GarnierThese, system GarnierThese",4
1103,Korteweg-de,"Korteweg-de, Korteweg-de Vries, modified Korteweg-de",4
1104,admits,"Okamoto, PDE admits, admissible, admit, admits, amounts, limit, radius, splits, task splits, units",4
1105,arbitrary coefficients,"arbitrary coefficients, arbitrary constants, constant coefficients, expansion coefficients, previous coefficients, variable coefficients",4
1106,continuum,"consensus, containing, contiguity, continued, continuous, continuum, highest continuum",4
1107,dependent,"dependence, dependent, depending, depends, depends linearly, development, independent, per independent",4
1108,difference,"Indian Science, confluence, difference, differential, difficulty, q-difference, references",4
1109,differential equations,"determining equations, difference equations, differential equations, differential geometry, differential invariants, q-difference equations",4
1110,examples,"Examples, KPP example, example, examples, excludes, extrapolates, problem implies",4
1111,expansions,"exhaustive lists, expansion, expansions, expansions due, extension, pole-like expansions",4
1112,formula,"Bouquet, Dorizzi, Gordoa, Umemura, addition formula, enormous, former, formula, formulated, powerful, rigorously, superposition formula, uniformize",4
1113,identical,"classical, dynamical, essential, fixed critical, identical, identically, identically zero, identities, identity, practical",4
1114,interesting,"interesting, interesting development, internationale, understand",4
1115,mKdV,"KdV, KdV PDE, mKdV, p-mKdV",4
1116,multivaluedness,"contain multivaluedness, detect multivaluedness, multiple root, multivalued, multivaluedness, multivaluedness takes, valuedness",4
1117,particular solution,"contiguity relation, particular solution, particular solutions, singular solution",4
1118,poles,"Bobenko, Dover, Euler, Fokas, Fordy, Holm, Hone, Kowalevski, Lorenz, Notes, Pope, Potts, Problems, Reports, Tokyo, Tournesol, goes, holds, lower, lowest, model, models, no-log, none, notes, ones, points, pole-like, poles, poles"", possess, possesses, powers, problem, problems, solved, suppress, tome, useless, volumes",4
1119,satisfied,"ParisStud, satisfactory, satisfied, satisfies, satisfies p-mKdV, studied",4
1120,surfaces,"PDE fails, Riemann surface, Soukharev, approaches, des surfaces, simultaneously, studied class, surface, surfaces",4
1121,u-x,"B-C, Bull, Lax, N/u-U, Pura, Six, U-x, k-k, pura, six, t-u, t-x, u"""", u""', u'/u, u'/x, u-e, u-x, usyd, w-W, x-C, x-c, x-x, x-y, xxx, xxxx, y-x, z-x",4
1122,value,"Darboux, Halburd, Halphen, Salle, alter, argue, calcul, earlier, failure, issue, unique, value, valued, values, vice, volume",4
1123,CRM series,"CIME school, CRM series, ODE possesses, PDE possesses",4
1124,DarbouxSurfaces,"Darboux-Halphen, DarbouxSurfaces, XII DarbouxSurfaces",4
1125,KudryashovKSFourb,"KudryashovElliptic, KudryashovKSFourb, finds KudryashovKSFourb",4
1126,Kundu-Eckhaus,"Kundu-Eckhaus, Kundu-Eckhaus PDE",4
1127,Kus,"AKNS, KPP, Kaup, Kundu, Kus, ODEs, PDEs, Phys, Stud, cos, cuts, due, kusm, puts, sum, sur",4
1128,Lecture,"Lecture, Letters, Llibre, conjecture, feature, future, lecture, perturbed, picture, structure",4
1129,LlibreZhang,"LlibreZhang, ones LlibreZhang",4
1130,Matematicheskaya,"Matematicheskaya, Matematicheskaya Fizika, Matematicheskoye, Teoreticheskaya",4
1131,PaiLecons,"Gibbons, PaiLecons, PaiLeconsRDG",4
1132,Vanhaecke,"Vanhaecke, VanhaeckeLNM, van Moerbeke",4
1133,application,"Papageorgiou, applicata, application, applications, elimination, les applications, physical applications, recent application",4
1134,birational transformation,"birational transformation, birational transformations, linearizing transformation",4
1135,classifications,"Classifications, Classifications based, Gambier classification, classification, classifications, classifications similar",4
1136,cross-derivative condition,"conditionno-logarithm condition, cross-derivative condition",4
1137,expression,"expressed, expressing, expression, expressions",4
1138,finite,"Alfinito, Bianchi, Conte, Fizika, Vinet, exhibited, finite, fourth, infinite, infinity, inside, missing item, write",4
1139,generates,"Nevertheless, WTC generates, Weierstrass, celebrated, degenerate, generate, generated, generates, generates additional, generates lengthy, generating, nongeneric cases, separately",4
1140,hodograph,"Nagoya Math, hodograph, holomorphic, homographic, homography",4
1141,hypergeometric equation,"hypergeometric equation, hypergeometric function",4
1142,including,"Pickering, Proceedings, according, excluding, implying, included, including, isolating, main missing",4
1143,initial,"canonical, critical, financial, indicial, initial, initials, instead, multiple, natural, original, partial, principal",4
1144,inverse,"Inverse, enforce, envelope, inherit, inverse, involve, involved, vice versa",4
1145,linear ODE,"ExtonRM ODEs, linear ODE, linear ODEs, nonlinear ODEs, nonlinear PDE",4
1146,locally,"Stockholm, finally, global, globally, gratefully, local, local study, locally, located, nowadays, penalty, probably, recall, self-duality, slightly",4
1147,mathematics,"Gauthier-Villars, Grammaticos, Matematica, Matematika, applied mathematics, mathematical, mathematical physics, mathematics",4
1148,necessarily,"Camassa-Holm, Science Academy, necessarily, necessity, one-family, successfully, unnecessary",4
1149,obtain,"Details, Log sinh, contain, details, establish, obtain, obtainable, obtained, ocean, outside, retain",4
1150,possibly,"impossible, ones simply, possibility, possibly, responsible",4
1151,provide,"Service, method provides, opposite, precise, previous, program, proposed, provide, provided, provides, providing, proving, test provide",4
1152,require,"prerequisite, recognizes, reducible, require, required, requirement, sequence, square",4
1153,root,"Boiti, Briot, Norm, York, goal, grant, group, growth, proof, root, roots, school, support, tool, wrong",4
1154,simple,"Rizzoli, Widely, circle, complex, implies, similar, simple, simpler, simply, single, triple",4
1155,solitary waves,"Solitary waves, addition passes, solitary waves",4
1156,step,"html, http, item, skip, step, steps, stepsize, study",4
1157,transformed,"space forced, transform, transformed, transformed PDE, transforms, transpose",4
1158,A/t,"A/t, AHH, Acad, Acta, Ann, App, Appl, D/t, Mat, Ohta, U'/U, b'/c', fit, t/y, x/y",4
1159,CetraroConte CetraroMusette,CetraroConte CetraroMusette,4
1160,CosPDEhyper CosPDEpara,CosPDEhyper CosPDEpara,4
1161,Darboux involutionC,"Darboux involutionC, Darboux involutionLax",4
1162,GambierThese BureauMIII,"ChazyThese BureauMII, GambierThese BureauMIII, GambierThese reproduced",4
1163,Gif-sur-Yvette,"Gif-sur-Yvette, Gif-sur-Yvette Cedex",4
1164,Ginzburg-Landau,"Ginzburg-Landau, Ginzburg-Landau equations, coupled Ginzburg-Landau",4
1165,Hamiltonian,"Hamiltonian, Hamiltonian system",4
1166,Integrable systems,"Integrable systems, integrable systems",4
1167,Inverse problems,"Inverse Problems, Inverse problems, inverse spectral, isomonodromy problem",4
1168,Kaup-Kupershmidt,Kaup-Kupershmidt,4
1169,KdV equation,"Chazy's equation, Ermakov equation, KPP equation, KdV equation, Vries equation, admit reductions, heat equation, listed equation, mKdV equation, scalar equation, single equation",4
1170,Kolmogorov-Petrovskii-Piskunov,Kolmogorov-Petrovskii-Piskunov,4
1171,Kuramoto-Sivashinsky equation,Kuramoto-Sivashinsky equation,4
1172,Lecture notes,"Lecture Notes, Lecture notes, lecture notes",4
1173,Liouville--integrability,"Liouville integrability, Liouville--integrability, Liouville--integrable",4
1174,Liouville--integrable Hamiltonian,Liouville--integrable Hamiltonian,4
1175,Liouville--integrableLiouville--integrability,Liouville--integrableLiouville--integrability,4
1176,Makhankov,"Khar'kov, Makhankov, Mekhanika, Mikhailov, Zakharov",4
1177,Malanotte Rizzoli,Malanotte Rizzoli,4
1178,Matematicheskoye modelirovanie,Matematicheskoye modelirovanie,4
1179,Movable,"MatveevSalle, Moerbeke, Movable, countable, double, exact solvable, movable, solvable, unable",4
1180,NewellWhiteheadKPP,"KPP NewellWhiteheadKPP, NewellWhitehead, NewellWhiteheadKPP, NewellWhiteheadKPP equation",4
1181,North-Holland publishing,North-Holland publishing,4
1182,Ordinary differential,"Ordinary differential, elementary differential, ordinary differential, partial differential",4
1183,Prikladnaia Matematika,Prikladnaia Matematika,4
1184,Riccati pseudopotential,"Riccati pseudopotential, pseudopotential",4
1185,Ruijsenaars Ruijsenaars,Ruijsenaars Ruijsenaars,4
1186,SchwarzianSchwarzian,SchwarzianSchwarzian,4
1187,Singularity-based,"Singularity-based, singularity-based",4
1188,Singularity-based methods,"Singularity-based methods, singularity-based methods",4
1189,Theoretische Natuurkunde,Theoretische Natuurkunde,4
1190,Universiteit,"Universiteit, Universiteit Brussel, Vrije Universiteit",4
1191,Vanhaecke VanhaeckeLNM,Vanhaecke VanhaeckeLNM,4
1192,Weierstrass elliptic,Weierstrass elliptic,4
1193,XII,"CIME, GTIU, III, III chap, LXIV, LXVI, SIAM, XCI, XII",4
1194,admissible polynomials,admissible polynomials,4
1195,algebraic steps,"algebraic ODEs, algebraic equations, algebraic geometry, algebraic steps, algebraic surfaces",4
1196,algorithm providing,"algorithm providing, logarithmic derivative",4
1197,allows,"Ablowitz, Alonso, allowed, allowed space, allows, follows, unknown",4
1198,analytic essential,"analysis intended, analytic essential, analytically continued, isolated essential",4
1199,apparent singularity,"apparent singularity, nonapparent singularity",4
1200,applicata LXVI,"applicata LXIV, applicata LXVI, applicata XCI",4
1201,applied,"apparent, applied, applies, apply, applying, approach, approach developed, associated, explained, families, mapped, opposed",4
1202,arbitrarily,"arbitrarily, arbitrary, chosen arbitrarily",4
1203,auto--,"ExtonRM, auto--, auto-BT, kusm kyoto-u, kyoto-u",4
1204,binomial-type,"binomial-type, binomial-type ODEs, degree binomial-type",4
1205,build,"Fluid, Third, build, built, fully, third",4
1206,built explicitly,"build explicitly, built explicitly, multiplicity",4
1207,celebrated Chazy's,celebrated Chazy's,4
1208,center,"Baxter, Garnier, Scientific, Whenever, center, century, criteria, denotes, hence, latter, lengthy, recently, weaker",4
1209,change,"France, Shabat, Xiang, Zhang, advantage, branch, change, chap, choice, exchange, glance, plane, stage, unchanged",4
1210,chaotic Kuramoto-Sivashinsky,"Kuramoto-Sivashinsky, chaotic Kuramoto-Sivashinsky, equation Kuramoto-Sivashinsky",4
1211,coefficient,"coefficient, coefficient"", coefficients, coefficients equal, confinement, efficiency, insufficient, level coefficient"", sufficient",4
1212,coefficients depending,"coefficients analytic, coefficients corresponding, coefficients depending",4
1213,computation practically,computation practically,4
1214,computed,"Adapted, compared, completeness, completes, complex field, component, components, compute, computed, computer, coupled, covered, proof completes",4
1215,conditions generated,"additional constraint, conditionno-logarithm, conditions generated, conditions generates, transformations generated",4
1216,consider,"Consider, Considering, candidates, consider, considering, considers, consists",4
1217,construction,"conservation, conservation laws, construction, constructive, constructive property, restriction",4
1218,correspondence,"correspondence, corresponding",4
1219,cosmological model,"cosmological, cosmological model",4
1220,current,"Burgers, Laurent, current, currently, incorrect, recurrence",4
1221,current achievements,"current achievements, interesting developments",4
1222,currently proposed,currently proposed,4
1223,defining particular,defining particular,4
1224,degree equations,"Bessel equation, d'Alembert equation, degree birational, degree continuous, degree equations, discrete equations, evolution equations, recurrence relation",4
1225,demanding property,"demanding property, leading powers, remaining infinite",4
1226,derivative,"cross-derivative, derivative, derivatives, diophantine, lower derivatives, negative, nonnegative",4
1227,detect,"Direct, Newell, detect, detected, detects, directly, exact, object, recent, restricts, select, selected, selects, test detects",4
1228,directly defines,"directly defines, directly inherited, formula defines, operator defined",4
1229,discard,"Picard, Riccati, Ruijsenaars, disappears, discard, discards, displays",4
1230,discrete version,"detailed version, discrete analogue, discrete counterpart, discrete differentiation, discrete test, discrete version, recent version",4
1231,discretization,"Discretization, differentiation, discard negative, discretization, exact discretization, generalization",4
1232,dispute,"Despite, Musette, Piskunov, discrete, display, dispute, isolate, undisputed",4
1233,dynamical system,"dynamical system, dynamical systems",4
1234,elementary identities,elementary identities,4
1235,ends,"Annals, Ince, eds, edu, ends, enjoys, fields, finds, genus, ind, index, kinds, needs, stands, yields",4
1236,enormous advantage,enormous advantage,4
1237,equation numbered,"equation modified, equation numbered, equations isolated, rational numbers",4
1238,equivalence,"equivalence, equivalence class, equivalent, equivalently",4
1239,equivalent fourth,"equivalent Riccati, equivalent affine, equivalent fourth, equivalently written",4
1240,essential singularity,"essential singular, essential singularities, essential singularity",4
1241,exceptional importance,exceptional importance,4
1242,explicit,"exhibit, explain, explicit, explicit closed, explicit writing, explicitly, explicitly build, simplicity",4
1243,explicitly integrate,"Nonlinear integrable, explicitly integrate, explicitly integrated, explicitly integrating, partially integrable",4
1244,families feature,"families feature, families simultaneously, main feature, unified picture",4
1245,fixed,"field, fixed, forced, freedom, funded, linked, rigid",4
1246,follows immediately,follows immediately,4
1247,frequently happens,frequently happens,4
1248,functionally independent,functionally independent,4
1249,geometric,"Theoretische, generic, geometric, geometry, hypergeometric, test restricts",4
1250,global object,"global elements, global object, local object",4
1251,gratefully acknowledged,gratefully acknowledged,4
1252,hodograph transformations,"hodograph transformation, hodograph transformations, homographic transformations",4
1253,homographic transform,"homographic dependence, homographic group, homographic invariants, homographic transform",4
1254,identically satisfied,identically satisfied,4
1255,indicial equation,"Linearizable equations, Liouville equation, Riccati equation, Yang-Mills equations, financial support, indicial equation, initial conditions, linearized equation, manifold equation, original equation, physical equations",4
1256,information required,"information obtainable, information required, uniformization procedure",4
1257,integrable PDE,"integrable PDE, integrable PDEs, one-family PDE",4
1258,integrate,"Acta Math, Dienst Theoretische, Integrable, Winternitz, illustrate, immediately, integrable, integral, integral Segur, integrals, integrate, integrated, integrating, integration, intermediate, investigated, nonintegrable",4
1259,involution,"introduction, involution, involutionC, involutionLax, involutionLax pair, sine-Gordon",4
1260,linear discrete,"autonomous discrete, linear discrete, nonlinear discrete, pinsaDiscrete, property discrete, test discrete, volume pinsaDiscrete",4
1261,linear system,"Euler system, Garnier system, Lorenz system, Nonlinear physics, Riccati system, linear system",4
1262,local representations,"Riccati representation, affine representation, canonical representatives, local representations, main implementations, parametric representation, tutorial presentations",4
1263,locally single,"global single, locally single, locally singlevalued, probably single",4
1264,logarithm,"algorithm, logarithm, logarithmic, logarithmic branch, logarithms, no-logarithm",4
1265,manifold variable,"autonomous partially, expansion variable, field variable, inherit variable, manifold variable, manifold variablesingular",4
1266,maths usyd,"math tu-berlin, maths usyd",4
1267,methods described,"methods Nonlinear, methods described, methods presented, procedure described",4
1268,modelLorenz,"Lorenz modelLorenz, modelLorenz, modelLorenz model, modelirovanie",4
1269,monodromy,"isomonodromy, monodromy, monodromy exponents, monodromy matrix",4
1270,mostly multi-component,"mostly multi-component, multi-component",4
1271,movable constants,"Carnevale consists, complex constant, complex constants, denoting constants, movable constant, movable constants, movable critical",4
1272,movable poles,"adjustable fields, double poles, movable analytic, movable double, movable poles, properties holds, solvable nonlinear",4
1273,natural choice,"natural Riccati, natural boundary, natural choice, natural extension, unique choice",4
1274,negative integers,"distinct integers, negative integer, negative integers",4
1275,no-logarithm conditionno-logarithm,no-logarithm conditionno-logarithm,4
1276,nonautonomous,"autonomous, nonautonomous, nonautonomous ones",4
1277,noncharacteristic yields,"noncharacteristic, noncharacteristic manifold, noncharacteristic reduction, noncharacteristic yields",4
1278,nonlinear equation,"Nonlinear evolution, continuous equations, linear combination, nonintegrable equations, nonlinear dynamics, nonlinear equation, nonlinear equations, nonlinear evolution, nonlinear special, nonlinear superposition",4
1279,numbered,"encountered, numbered, numbers, numbers instead, tu-berlin",4
1280,ordinary,"Accordingly, Fortunately, Ordinary, Solitary, ordinary",4
1281,original problem,"additional no-log, classical program, critical points, formulated problem, original problem",4
1282,perform,"operator, perform, performed, performs, priori",4
1283,possibly missing,"possibly missing, possibly presenting",4
1284,powerful method,"confinement method, inverse methods, manifold method, powerful method, powerful tool",4
1285,practical definition,"basic definitions, classical definition, definitionDefinition, practical computation, practical definition, practically untractable, proposed definitions, undisputed definition",4
1286,prerequisite notion,prerequisite notion,4
1287,presents,"frequently, preprint, presence, presented, presenting, presents, preserves, properties, property, represent, represents, results",4
1288,presents movable,"detects movable, presenting movable, presents movable, prey-predator models",4
1289,produce,"PDE reduces, Woodhouse, by-product, introduced, introduces, procedure, produce, produces, producing, reduce, reduces, reproduced",4
1290,proves,"Verhoeven, improved, proceed, process, processed, prove, proven, proves",4
1291,pseudopotential equivalent,pseudopotential equivalent,4
1292,reaction-diffusion,"reaction-diffusion, reaction-diffusion systems",4
1293,reduction noncharacteristic,reduction noncharacteristic,4
1294,refer,"Cedex, Green, Segur, level, reader, realm, recover, refer, richer, seven",4
1295,representations,"implementations, presentation, presentations, representation, representations, representatives",4
1296,review,"brevity, review, reviewed, series",4
1297,reviewed elsewhere,"references therein, remarked earlier, reviewed elsewhere",4
1298,rigorously defined,"rigorously defined, rigorously settled",4
1299,sech,"Drach, Greco, Joseph, Mech, check, search, searched, sech, sinh, sinh sech, space",4
1300,setting,"Denoting, checking, escaping, keeping, leading, resulting, searching, separating, setting, settled, writing",4
1301,simple poles,"complex plane, simple poles, simple writing, simpler tasks, simply formulated, simply inherit, simply produces",4
1302,singularity degree,"singularity confinement, singularity degree, singularity degrees, singularity structure",4
1303,singularity movablesingularity,singularity movablesingularity,4
1304,solution depends,"latter depends, location depends, soliton theory, solution containing, solution depends",4
1305,special,"Special, Special issue, respectively, self-dual, special, spectral",4
1306,spectral parameter,"arbitrary parameters, spectral parameter, spectral transform",4
1307,successfully processed,successfully processed,4
1308,terminates,"Medina Reus, dominant terms, series terminates, terminate, terminates",4
1309,theorem,"Chelsea, Theor, Theorem, Theory, basic theorem, theorem, theory, therein",4
1310,transcendental,"depends transcendentally, transcendental, transcendentally, transcendents",4
1311,transcendental condition,"transcendental condition, transcendental dependence",4
1312,triple Fuchs,"triple Fuchs, triple index",4
1313,truncation method,"perturbative method, truncation method, truncation methodsingular, truncation procedure",4
1314,two-parameter expansion,"two-parameter expansion, two-parameter solution",4
1315,typically,"Basically, Basically WTC, cyclically, practically, typical, typical output, typically",4
1316,unconstrained,"function defined, unconstrained, unconstrained field",4
1317,useful by-product,useful by-product,4
1318,usual,"Annali, Brussel, Journal, Kruskal, equal, equals, useful, usual, usual KPP",4
1319,valued expression,"lengthy expressions, relation expressing, valued expression, valuedness required",4
1320,valued solutions,"Singlevalued solutions, envelope solution, exact solutions, missing solutions, unique solution, valued solutions, various situations",4
1321,zeroth,"zero, zeroth",4
1322,energy,"Clearly, Energy, benefit, binary, bosonenergy, emerge, emerged, emerges, energies, energy, energy', energytime, entering, entity, evenly, generous, henceforth, nearby, query, tendency, withenergy",5
1323,negative,"Inegative, Mnegative, Negative, Tnegative, examine, imperative, intuitive, kinematic, lawnegative, legitimacy, legitimate, legitimize, massnegative, mythsnegative, narrative, negative, negatively, nnnegative, ofnegative, perceive, quantitative, relative, seenegative, speculative, tentative, tentatively, thenegative, withnegative, withtime",5
1324,gravitational,"Gravitation, Gravitational, Mgravitational, Non-gravitational, computational, gravitating, gravitation, gravitation appear, gravitation based, gravitation spin, gravitational, gravitationally, gravitationinertial, gravitationlocal, gravitationphysical, gravitationquantum, gravitationuniversal, massgravitational, non-gravitational, voidsgravitational, withgravitational",5
1325,symmetry,"PTC symmetry, Summary, asymmetry, geometry, summary, symmetry, symmetry weak, time-asymmetry",5
1326,mass,"BH/A, Casimir, Hans, IPTC, Mach's, Mass, add, bang, basic, basis, bypass, class, easy, emits, facts, fast, gas, gmail, grasp, guess, laws, loss, mG/c, main, major, makes, map, maps, mass, mass', masses, massive, masslocal, maybe, meant, meson, mesons, mess, myths, past, plus, rays, task, test, utmost, vanish, vast, ways",5
1327,negative energy,"Inegative energy, Mnegative energy, Negative Energy, Negative energy, Tnegative energy, negative energy, negative kinetic, negative massgeneral, negative stress-energy, nnnegative energy, ofnegative energy",5
1328,particles,"partially, particle, particle', particle's, particles, particles'",5
1329,positive energy,"positive confirms, positive energies, positive energy, positive stress-energy, positive thermal",5
1330,associated,"Associated, associate, associated, associating, association, dissociate, enunciated, mass located",5
1331,vacuum,"vacuum, vacuums, withvacuum",5
1332,viewpoint,"standpoint, turning points, viewpoint, viewpoints, zero-point",5
1333,reversal,"Reversal, area equal, net overall, reversal, reversals, traversable",5
1334,freedom,"freedom, freedomtime",5
1335,opposite,"Opposite, composite, opposite, oppositely, opposition",5
1336,gravitational field,"Gravitational field, gravitational effect, gravitational field, gravitational fieldblack, gravitational fieldlocal, gravitational fieldquantum, gravitational fields",5
1337,physical,"classical, massphysical, metaphysical, physical, physically, physicist, physicists, physics, practical, typical, unphysical",5
1338,definition,"Bekenstein, decomposition, defined low, defined sign, definition, definitions, degradation, derivation, derivations, description, destination, diminution, perception, precondition, recognition, redefinition, seecondition",5
1339,inertial,"appraisal, celestial, fixed spatial, forceinertial, identical, individual, inertia, inertial, inferring, initial, initially, intermediary, interval, inverting, kinetic, lawinertial, massinertial, neutral, nickner gmail, non-trivial, perpetual, rising tidal, theinertial, theoretical, timelocal, unequivocal, unnatural, unusual, vertical, virtual",5
1340,discrete,"Cdiscrete, Discrete, Idiscrete, Mdiscrete, Pdiscrete, Tdiscrete, areadiscrete, basic discrete, dictate, dictates, disagreement, discarded, discern, discover, discovered, discovery, discrepancy, discrete, disorder, disperse, disprove, disrupt current, fielddiscrete, holediscrete, massdiscrete, ofdiscrete, spins oriented, widespread",5
1341,momentum,"momentum, momentum sign, momentumtime",5
1342,relational definition,"contradictory definition, fundamental definition, meaningful definition, mechanical definition, relational definition, relational definitionblack, relational definitionconstraint, relational determination, relational explanation, traditional definition",5
1343,interaction,"alteration, alterations, attraction, attractions, chosen action, denote action, disintegration, information, integration, interacting, interaction, interactions, interactiontime, interruption, intervalstime, involve action, science fiction, single action, subtraction, withinteraction",5
1344,degrees,"decreases, decree, degree, degrees, diagrams, disagrees, progress, vertexes",5
1345,direction degree,"direction degree, direction degrees, direction precisely, direction related, direction singled, direction space, directions indicate, time-direction degree",5
1346,negative mass,"lawnegative mass, massnegative mass, negative mass, negative masses",5
